"name","long","lat","year","date"
"Danaus plexippus","-118.16363","33.688532","2016","2016-01-16"
"Danaus plexippus","-95.180919","30.04215","2016","2016-01-31"
"Danaus plexippus","-122.476359","37.768082","2016","2016-01-27"
"Danaus plexippus","-118.373426","33.887399","2016","2016-01-16"
"Danaus plexippus","-118.28682","33.884171","2016","2016-01-01"
"Danaus plexippus","-118.286733","33.88434","2016","2016-01-17"
"Danaus plexippus","-118.286811","33.884291","2016","2016-01-22"
"Danaus plexippus","-122.473507","37.796124","2016","2016-01-27"
"Danaus plexippus","-97.40678","27.652455","2016","2016-01-12"
"Danaus plexippus","-118.144516","34.147785","2016","2016-01-04"
"Danaus plexippus","-122.698733","37.902056","2016","2016-01-01"
"Danaus plexippus","-76.727662","37.141466","2016","2016-01-27"
"Danaus plexippus","-95.419722","29.0425","2016","2016-01-15"
"Danaus plexippus","-95.500794","29.920425","2016","2016-02-17"
"Danaus plexippus","-120.558627","36.536927","2016","2016-02-28"
"Danaus plexippus","-122.444322","37.47134","2016","2016-02-09"
"Danaus plexippus","-95.476375","29.941504","2016","2016-02-18"
"Danaus plexippus","-122.256753","37.871637","2016","2016-02-25"
"Danaus plexippus","-95.412872","29.956008","2016","2016-02-20"
"Danaus plexippus","-95.425709","29.835437","2016","2016-02-01"
"Danaus plexippus","-95.611628","29.857958","2016","2016-02-14"
"Danaus plexippus","-95.591154","29.838406","2016","2016-02-29"
"Danaus plexippus","-95.48807","29.887515","2016","2016-02-11"
"Danaus plexippus","-121.992582","36.958616","2016","2016-02-14"
"Danaus plexippus","-88.087735","30.249317","2016","2016-02-25"
"Danaus plexippus","-122.027279","36.952767","2016","2016-02-11"
"Danaus plexippus","-118.355655","34.064366","2016","2016-02-06"
"Danaus plexippus","-121.938722","36.508118","2016","2016-02-19"
"Danaus plexippus","-122.07583","37.434399","2016","2016-02-21"
"Danaus plexippus","-122.314489","37.863224","2016","2016-02-28"
"Danaus plexippus","-118.349117","34.069773","2016","2016-02-10"
"Danaus plexippus","-95.611696","29.857245","2016","2016-02-14"
"Danaus plexippus","-119.037013","34.233184","2016","2016-02-23"
"Danaus plexippus","-95.419722","29.0425","2016","2016-02-07"
"Danaus plexippus","-157.825733","21.304609","2016","2016-02-08"
"Danaus plexippus","-97.956269","26.126659","2016","2016-02-12"
"Danaus plexippus","-95.451053","29.855308","2016","2016-02-09"
"Danaus plexippus","-122.027204","36.953387","2016","2016-02-13"
"Danaus plexippus","-95.5827","29.808041","2016","2016-02-05"
"Danaus plexippus","-122.46848","37.767921","2016","2016-02-08"
"Danaus plexippus","-117.147577","32.731398","2016","2016-02-11"
"Danaus plexippus","-122.444878","37.797353","2016","2016-02-13"
"Danaus plexippus","-120.632545","35.129394","2016","2016-02-14"
"Danaus plexippus","-118.086022","33.806161","2016","2016-02-06"
"Danaus plexippus","-118.286672","33.884296","2016","2016-02-15"
"Danaus plexippus","-117.280563","33.052897","2016","2016-02-15"
"Danaus plexippus","-95.593978","29.828678","2016","2016-02-27"
"Danaus plexippus","-118.26471","34.028887","2016","2016-02-17"
"Danaus plexippus","-118.243685","34.052234","2016","2016-02-05"
"Danaus plexippus","-122.503915","37.770873","2016","2016-02-05"
"Danaus plexippus","-118.190746","33.772013","2016","2016-02-01"
"Danaus plexippus","-95.54124","29.889233","2016","2016-02-16"
"Danaus plexippus","-156.695898","20.921751","2016","2016-02-12"
"Danaus plexippus","-117.193269","32.757824","2016","2016-02-14"
